id,facility_code,mappings,registration_number,facility_name,common_name,physical_address,postal_address,village,ta,contact_person_fullname,contact_person_phone,contact_person_email,district,district_code,facility_type,datum,langitude,latitude,catchment_area,catchment_population,operational_status,ownership,regulatory_status,Other inpatient beds,Motor Vehicle Ambulances,Motor cycles,Bicycles,Motor Bike Ambulances,Vehicles/Cars,Other,Delivery beds,Maternity beds,Total overningt beds,20 watts generators,30 watts generators,40 watts generator,50 watts generator,Laptop,Desktop,Staff houses,Public tap/stand pipe,Generator,Piped into health facility,Piped into facility ground,Tube well/borehole,Tanker truck,No electricity,Solar panels,Wired for electricity,Connected to ESCOM Grid,Near ESCOM Grid,Rainwater harvesting,National Grid,Protected dug well,protected spring,Unprotected dug well,unprotected spring,surface water(Dam/Lake/River/Pond,Other,Incinerator,Placenta pit,Rubbish pit,Toilet,Pit latrine,Staff training in waste management last 2 years,Chamber industrial,Chamber drum,Flat ground,Protected ground,Pit no protection,Protected ground or pit,Covered container,Other protected environment,Other,Non sharp chamber industrial,Non sharp chamber drum,Non sharp flat ground,Non sharp pit protected ground,Non sharp covered pit,Non sharp open pit,Non sharp protected_ground,Non sharp covered container,Non sharp other protected environment,Non sharp other,Airtel,TNM,Access,MTL,Other,GWAN,Skyband,Globe
152,TO310152,[],0,Changata Health Centre,Changata,5km North of Malamulo,"p.o. box 21, Thyolo",Kuunika,,Steve Manyozo,881620206,ajumbe@medcol.mw,Thyolo,TO,Health Centre,,35.06,-16.08,Rural,20973,Functional,Government,Registered,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,,TRUE,,,,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,
153,DA020153,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/cZkBc7Ri1HF.json"", ""code"": ""cZkBc7Ri1HF"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""DA1303"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""DA1303"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""15"", ""system"": ""DHAMIS""}]",MCM/MOH/HC/69,Chankhungu Health Centre,Chankhungu,near Chankhungu trading centre,"p.o. box 25,DA",Kuunika,Nkukula,Lester Munyenyembe,111234567,dowahmis@gmail.com,Dowa,DA,Health Centre,WGS 84,34.01,-13.76,Rular,26853,Functional,Government,Registered,,,1,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,,,,,,
154,CK270154,[],,"Chanza, Edwin, Erapecha Clinic",Erapecha,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Lundu,John Bands,111234567,johnbanda@kuunika.org,Chikwawa,CK,Clinic,WGS 84,34.87,-16.26,urban,0,Non-functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,
155,CK270155,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/T3V75V8sfxa.json"", ""code"": ""T3V75V8sfxa"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""CK3302"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""CK3302"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""577"", ""system"": ""DHAMIS""}]",4,Chapananga Health Centre,Mkadana,Mkadana,"P.O. Box 32, Chikwawa",Kuunika,Chapananga,Lufanti Bitoni,884737745,szinkanda@yahoo.com,Chikwawa,CK,Clinic,WGS 84,34.49,-16.01,Rural,18719,Functional,Government,Registered,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,
156,MH200156,[],,Chapola,Chapola,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Mangochi,MH,Dispensary,,,,urban,0,Functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,CK270157,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/pkMXL4XF9ie.json"", ""code"": ""pkMXL4XF9ie"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""CK3304"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""CK3304"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""30"", ""system"": ""DHAMIS""}]",5,Chapwaila Health Centre,Chipwaila Health Centre,Chipwaila,"P. Box 32, Chikwawa",Kuunika,Ngabu,Gerald Munthali,884359013,szinkanda@yahoo.com,Chikwawa,CK,Health Centre,WGS 84,34.78,-16.40,Rural,41561,Functional,Government,Registered,8,,1,,,,,2,5,6,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,
158,ZA230158,[],MCM/PA/706,Charity Fellium Private Maternity Clinic,Charity Fellium Private Maternity Clinic,Matawale,"Charity Fellium, P.O Box 273, Zomba",Kuunika,kumtumanje,Annie Chalowa,991951500,chalowaannie@gmail.com,Zomba,ZA,Clinic,WGS 84,35.36,-15.39,urban,3038,Functional,Private,Registered,,,1,,,1,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,
159,MHG190159,[],1234,Chapusa,Chapusa,"Chapusa, T/A Kawinga",Chapusa P.O Ntaja,Kuunika,,Kesten Mathiya,884414376,machingadho@gmail.com,Machinga,MHG,Health Post,WGS 84,35.61,-14.94,Rural,7823,Functional,Government,Registered,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,TRUE,,,,,,
160,ZA230160,[],,"chavula ,Henry k.Mpunga private clinic",chavula,Kuunika,"p.o. box 1234, Kuunika",Kuunika,chikowi,John Bands,111234567,johnbanda@kuunika.org,Zomba,ZA,Clinic,WGS 84,35.32,-15.41,urban,0,Functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,TO310161,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/AalwV4ZrGDO.json"", ""code"": ""AalwV4ZrGDO"", ""system"": ""DHIS2""}]",,Chawani,Chawone,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Chimaliro,John Bands,111234567,johnbanda@kuunika.org,Thyolo,TO,Dispensary,WGS 84,35.06,-16.08,urban,0,Non-functional,Government,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,MC010162,[],MCM/PA/230,Chawezi private Clinic,Chawezi private clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Zulu,Stanley Gausi,999309840,johnbanda@kuunika.org,Mchinji,MC,Clinic,WGS 84,33.04,-13.83,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,
163,CP060163,[],MCM/PA/,Chendo,Chendo,Chendo Trading Centre Along  Chitipa Nthalire Road,C/o P.O. Box 95 Chitipa,Kuunika,mwaulambia,Gift Mumba,999074317,giftmumba@gmail.com,Chitipa,CP,Health Post,WGS 84,33.41,-9.88,Rural,8587,Functional,Government,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,,,,,,
164,KB050164,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/zxDIIqsUrk8.json"", ""code"": ""zxDIIqsUrk8"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""NB0302"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""NB0302"", ""system"": ""OpenLMIS""}]",MCM/MOH/HC/07,Chesamu Health Centre,Chesamu,Tchesamu,C/o Box 4. Nkhata bay,Kuunika,Kabunduli,Bywell Lombwa,882775074,bywello@gmail.com,Nkhata Bay,KB,Health Centre,WGS 84,34.02,-11.85,Rural,6701,Functional,Government,Registered,7,,1,,,,,2,4,5,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,,TRUE,TRUE,,,,,,
165,LL040165,[],,"Chete, Tenace D B. Chagogo Pri",Chagogo,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Kalumba,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Clinic,WGS 84,33.83,-14.07,urban,0,Non-functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
166,DA020166,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/salIVfMt9RA.json"", ""code"": ""salIVfMt9RA"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""DA1336"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""DA1336"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1309"", ""system"": ""DHAMIS""}]",1310,Chezi Mission Hospital,Chezi Mission Hospital,Near T. centre,"p.o. box 33,mvera",Kuunika,,Sister Jolly,999411213,dowahmis@gmail.com,Dowa,DA,Hospital,WGS 84,34.04,-13.65,Rular,40712,Functional,Christian Health Association of Malawi (CHAM),Registered,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,
167,MZ160167,[],not available,"Chibanja Private Clinic, Mtika",Chiwanja Pvt,chibanja near chibanja mosque,"p.o. box 299, Mzuzu",Kuunika,Mnthwalo,Clement Mtika,993033421,Clementmtika@yahoo.com,Mzimba,MZ,Clinic,WGS 84,34.01,-11.45,urban,6000,Functional,Private,Registered (Pending Certification),,,1,,,1,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,
168,MJ210168,[],1234,Chibathi,Chibathi,near primary school,Box 45 Mulanje,Kuunika,mabuka,Dorrothy Walasi,998738265,mulanjedho@y.yahoo.com,Mulanje,MJ,Health Post,WGS 84,35.48,-16.07,Rural,0,Functional,Christian Health Association of Malawi (CHAM),Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,BT240169,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/uMLl8OkWfHS.json"", ""code"": ""uMLl8OkWfHS"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT5050"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT5050"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""783"", ""system"": ""DHAMIS""}]",MCM/C/25,Chichiri Escom,Chichiri ESCOM Clinic,"Ginnery Corner pass Road Traffic, near Afrox Gas Company just after crossing the bridge","P. O. Box 2047, BLANTYRE",Kuunika,Kapeni,Mrs Makunganya,88875206,fmpindo@escom.mw,Blantyre,BT,Clinic,WGS 84,35.02,-15.79,Urban,0,Functional,Private,Registered,,,1,,,1,,,,,,,,,,2,2,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE
170,BT240170,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/vlYFnmt9KW7.json"", ""code"": ""vlYFnmt9KW7"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT5051"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT5051"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1149"", ""system"": ""DHAMIS""}]",0,Chichiri Prison,Chichiri Prison Clinic,Prison Road opposite the Malawi Army Camp,Chichiri Prison Box 30117  Blantyre 3,Kuunika,Kapeni,Harrison Mpenga,888560051,harrison5mpenga@gmail.com,Blantyre,BT,Clinic,WGS 84,35.03,-15.81,Urban,0,Functional,Government,Registered,,,1,,,1,,,,,,,,,,1,1,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,
171,KK100171,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/RViCF6QIybs.json"", ""code"": ""RViCF6QIybs"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KK1103"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KK1103"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""341"", ""system"": ""DHAMIS""}]",MCM/CHAM/HC/31,Chididi Health Centre,Chididi,Kalimanjira,"C/0 st Anne's, Nkhotakota",Kuunika,Malinga Chanza,Ester kasipe,99456340,Kasipeester@gmail.com,Nkhotakota,KK,Health Centre,WGS 84,34.31,-13.09,Rural,21828,Functional,Government,Registered,,1,,,1,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,
172,NE300172,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/RViCF6QIybs.json"", ""code"": ""RViCF6QIybs"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KK1103"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""KK1103"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""341"", ""system"": ""DHAMIS""}]",1234,Chididi Health Centre,Chididi,"Masimo village, TA Malemia.","p.o. box 1234, Kuunika",Kuunika,Malemia,John Bands,111234567,johnbanda@kuunika.org,Nsanje,NE,Health Centre,WGS 84,35.17,-16.91,Rural,0,Functional,Christian Health Association of Malawi (CHAM),Registered (Pending Certification),,,1,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,TRUE,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,
173,BLK170173,[],1234,Chiendausiku Health Centre,chiendausiku,Balaka district,"p.o. box 138, Balaka DHO",Kuunika,nsamala,Mildred Arabi,992897369,mildredarabi@gmail.com,Balaka,BLK,Health Centre,WGS 84,35.08,-15.02,rural,13952,Functional,Government,Registered,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,
174,NU120174,[],,Chifundo Clinic,Chifundo private clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Kwataine,Peter Sosiwa,881005606,johnbanda@kuunika.org,Ntcheu,NU,Clinic,WGS 84,34.65,-14.82,urban,0,Non-functional,Private,Registered (Pending Certification),,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
175,BT240175,[],0,"Chifundo, Monje Pvt Clinic",Chifundo private clinic,Malingamoyo Near Kiosk,P/Bag 524 Blantyre,Kuunika,Machinjili,NFG Gwedeza,888120060,blantyredho@gmail.com,Blantyre,BT,Clinic,WGS 84,34.98,-15.78,Urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,,
176,NN290176,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/pciHYsH4glX.json"", ""code"": ""pciHYsH4glX"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""NE3701"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""NE3701"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""898"", ""system"": ""DHAMIS""}]",3701,Chifunga Health Centre,Chifunga Health center,NENO DHO,"P.O. Box 52, Neno",Kuunika,Mlauli,Peter Onyeliwa,888168518,gmomba@mail.com,Neno,NN,Health Centre,WGS 84,34.70,-15.60,Rural,10443,Functional,Government,Registered,10,,1,1,,,,3,9,7,,,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,
177,BT240177,[],MCM/PA/92,Chigeli,Chogeli clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Kapeni,John Bands,111234567,johnbanda@kuunika.org,Blantyre,BT,Clinic,WGS 84,35.04,-15.84,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,
178,NU120178,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/ShsLuR0OWt2.json"", ""code"": ""ShsLuR0OWt2"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""NU1804"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""NU1804"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""357"", ""system"": ""DHAMIS""}]",MCM/CHAM/HC/52,Chigodi Health Centre,Chigodi,near Chigodi CCAP,"P.O. Box 27, Lizulu",Kuunika,chakhumbira,Kenneth Thousand,999029005,ntcheudho@gmail.com,Ntcheu,NU,Health Centre,WGS 84,34.54,-14.49,rural,14519,Non-functional,Christian Health Association of Malawi (CHAM),Registered,,1,,,1,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,
179,LL040179,[],MCM/C/194,Chigomezgo Private Clinic,Chabisika,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Chitukula,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Clinic,WGS 84,33.76,-13.88,urban,0,Non-functional,Private,Registered,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
180,BT240180,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/Hger69iTvVS.json"", ""code"": ""Hger69iTvVS"", ""system"": ""DHIS2""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""751"", ""system"": ""DHAMIS""}]",0,Chigumula,Chigumula Clinic,Kuunika,Blantyre City Council P/Bag 67 Blantyre,Kuunika,Kapeni,Esther Isaac,881966338,johnbanda@kuunika.org,Blantyre,BT,Clinic,WGS 84,35.06,-15.89,Urban,0,Functional,Government,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,
181,KA150181,[],0,Chihepusha,Chihepusha,Wovwe Scheme,C/O Nyungwe Health Centre,Kuunika,mwilang'ombe,Precious Ndovie,888132629,karongadho@yahoo.co.uk,Karonga,KA,Health Post,WGS 84,34.11,-10.33,Rural,1438,Functional,Government,Not Registered,,,,1,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,
182,NU120182,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/fmvjc3pgmee.json"", ""code"": ""fmvjc3pgmee"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""NU1805"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""NU1805"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""508"", ""system"": ""DHAMIS""}]",MCM/MOH/HC/78,Chikande Health Centre,Chikande,Upper Makwangwala,"C/O p/bag 5, Ntcheu",Kuunika,Makwangala,Anold Nyabanga,992964019,johnbanda@kuunika.org,Ntcheu,NU,Clinic,WGS 84,34.91,-14.77,Rural,20036,Functional,Government,Registered,,,1,1,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,
183,MZ160183,[],1234,Chikangawa,Chikangawa,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Mzimba,MZ,Clinic,,,,urban,0,Non-functional,Mission/Faith-based (other than CHAM),Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,MZ160184,[],1234,Chikangawa Health Centre,Chikangawa,Chikangawa,C/O P.O.Box 131,Kuunika,Traditional Authority Kampingo siwande,Lizzie Munthali,888359423,lizziemunthali@yahoo.com,Mzimba,MZ,Health Centre,WGS 84,33.80,-11.84,rural,14407,Functional,Government,Registered,15,,,,,,,2,11,13,,,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,
185,MH200185,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/KjntOeutm1x.json"", ""code"": ""KjntOeutm1x"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""MH2501"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""MH2501"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""902"", ""system"": ""DHAMIS""}]",Not available,Chikole Health Centre,Chikole,Kuunika,"p.o. box 1234, Kuunika",Kuunika,chowe,Carol Mtambalika,996823408,johnbanda@kuunika.org,Mangochi,MH,Clinic,WGS 84,35.38,-14.42,urban,0,Functional,Government,Registered (Pending Certification),7,,,,,,,2,5,5,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,
186,NU120186,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/Keuq4t91SIs.json"", ""code"": ""Keuq4t91SIs"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT2903"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT2903"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""745"", ""system"": ""DHAMIS""}]",MCM-,Chikowa Dispensary,Chikowa,Near Chikowa primary,"C/O p/bag 5, Ntcheu",Kuunika,Phambala,Kondwani Banda,993166849,kondwani027@gmail.com,Ntcheu,NU,Health Centre,WGS 84,34.72,-14.96,urban,11497,Functional,Government,Registered (Pending Certification),,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,
187,BT240187,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/Keuq4t91SIs.json"", ""code"": ""Keuq4t91SIs"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT2903"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT2903"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""745"", ""system"": ""DHAMIS""}]",0,Chikowa Health Centre,Chikowa,T/A Kuthebwe Makunje Village,P/ Bag 66 Blantyre,Kuunika,,Davie Chithira,888700039,chithiladavie@gmail.com,Blantyre,BT,Health Centre,,34.30,-13.25,Rural,39984,Functional,Government,Registered,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,TRUE,,,,,
188,LL040188,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/TJjz5jiFlqF.json"", ""code"": ""TJjz5jiFlqF"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT2903"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""BT2903"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""907"", ""system"": ""DHAMIS""}]",MCM/MOH/HC/130,Chikowa Health Centre,Chizu,Chikowa,"p.o. box 1274, Lilongwe",Kuunika,Kabudula,Cathereen Fransisco,991597232,johnbanda@kuunika.org,Lilongwe,LL,Health Centre,WGS 84,33.46,-13.73,rural,75361,Functional,Government,Registered,,,1,1,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,
